repository,commit_id,developer,files_changed,lines_added,lines_deleted,total_changes,changed_files
spring-petclinic,a2c2ef994340d3970eb6db51247456a51bb161f8,Viktar Patotski,1,1,0,1,src/main/java/org/springframework/samples/petclinic/PetClinicRuntimeHints.java
spring-petclinic,753d35c2f84432d88c0f3b61c9302a16069b78dd,shivam tiwari,12,37,4,41,"src/main/java/org/springframework/samples/petclinic/owner/Visit.java,src/main/java/org/springframework/samples/petclinic/owner/VisitController.java,src/main/resources/messages/messages.properties,src/main/resources/messages/messages_de.properties,src/main/resources/messages/messages_es.properties,src/main/resources/messages/messages_fa.properties,src/main/resources/messages/messages_ko.properties,src/main/resources/messages/messages_pt.properties,src/main/resources/messages/messages_ru.properties,src/main/resources/messages/messages_tr.properties,src/main/resources/templates/fragments/inputField.html,src/test/java/org/springframework/samples/petclinic/owner/VisitControllerTests.java"
spring-petclinic,3c06fbfc1e42eb40802e0d0ca989bc9226755804,Thomas Schmidt,1,5,2,7,src/main/java/org/springframework/samples/petclinic/model/Person.java
spring-petclinic,45649e015752726c9db0e1a33128b367a92a97be,Saurabh16-s,1,4,0,4,README.md
spring-petclinic,a6efbed773f61a271c071461326940786998722e,Graziela Lucena,1,23,3,26,src/test/java/org/springframework/samples/petclinic/model/ValidatorTests.java
spring-petclinic,c7ee170434ec3e369fdc9201290ba2ea4c92b557,Dave Syer,3,4,3,7,"src/main/java/org/springframework/samples/petclinic/owner/OwnerController.java,src/main/java/org/springframework/samples/petclinic/owner/PetController.java,src/main/java/org/springframework/samples/petclinic/owner/VisitController.java"
spring-petclinic,f1e0e22b883e185e680d44b264fb73a8efcff8b9,Dave Syer,1,2,0,2,src/main/resources/application.properties
spring-petclinic,edf4db28affcc4741c79850a3d95bc3f177b5ff9,Patrick Baumgartner,5,7,7,14,"README.md,docker-compose.yml,k8s/db.yml,src/test/java/org/springframework/samples/petclinic/MySqlIntegrationTests.java,src/test/java/org/springframework/samples/petclinic/MysqlTestApplication.java"
spring-petclinic,7ba7f8449ed7c0ad12b6d4ba1d66e588a4f9c1e3,Patrick Baumgartner,1,11,6,17,build.gradle
spring-petclinic,c71ccfd855d06f7c7ccebbad04e927e1957f269a,Patrick Baumgartner,1,2,1,3,pom.xml
